elem_id,type,node_i,node_j,Fx_i_local,Fy_i_local,Fz_i_local,Mx_i_local,My_i_local,Mz_i_local,Fx_j_local,Fy_j_local,Fz_j_local,Mx_j_local,My_j_local,Mz_j_local
101,3D_truss,1,2,-0.7805151517795088,0.0,0.0,0.0,0.0,0.0,0.7805151517795088,0.0,0.0,0.0,0.0,0.0
102,3D_truss,2,3,-0.7064479503137224,0.0,0.0,0.0,0.0,0.0,0.7064479503137224,0.0,0.0,0.0,0.0,0.0
103,3D_truss,3,4,-1.4079906299452327,0.0,0.0,0.0,0.0,0.0,1.4079906299452327,0.0,0.0,0.0,0.0,0.0
104,3D_truss,4,5,-1.427077357354186,0.0,0.0,0.0,0.0,0.0,1.427077357354186,0.0,0.0,0.0,0.0,0.0
105,3D_truss,5,6,-0.7940108492592861,0.0,0.0,0.0,0.0,0.0,0.7940108492592861,0.0,0.0,0.0,0.0,0.0
106,3D_truss,6,7,-0.8712717902952916,0.0,0.0,0.0,0.0,0.0,0.8712717902952916,0.0,0.0,0.0,0.0,0.0
107,3D_truss,1,8,1.1605225623893363,0.0,0.0,0.0,0.0,0.0,-1.1605225623893363,0.0,0.0,0.0,0.0,0.0
108,3D_truss,8,9,1.4187655108631096,0.0,0.0,0.0,0.0,0.0,-1.4187655108631096,0.0,0.0,0.0,0.0,0.0
109,3D_truss,9,10,1.5338261747077415,0.0,0.0,0.0,0.0,0.0,-1.5338261747077415,0.0,0.0,0.0,0.0,0.0
110,3D_truss,10,11,1.5602411266552032,0.0,0.0,0.0,0.0,0.0,-1.5602411266552032,0.0,0.0,0.0,0.0,0.0
111,3D_truss,11,12,1.4655635049265248,0.0,0.0,0.0,0.0,0.0,-1.4655635049265248,0.0,0.0,0.0,0.0,0.0
112,3D_truss,7,12,1.2955046897266094,0.0,0.0,0.0,0.0,0.0,-1.2955046897266094,0.0,0.0,0.0,0.0,0.0
113,3D_truss,2,8,-0.15654136520235884,0.0,0.0,0.0,0.0,0.0,0.15654136520235884,0.0,0.0,0.0,0.0,0.0
114,3D_truss,3,9,0.12660724454734762,0.0,0.0,0.0,0.0,0.0,-0.12660724454734762,0.0,0.0,0.0,0.0,0.0
115,3D_truss,4,10,-0.22700875778499885,0.0,0.0,0.0,0.0,0.0,0.22700875778499885,0.0,0.0,0.0,0.0,0.0
116,3D_truss,5,11,0.10417872109229442,0.0,0.0,0.0,0.0,0.0,-0.10417872109229442,0.0,0.0,0.0,0.0,0.0
117,3D_truss,6,12,-0.30482836002338054,0.0,0.0,0.0,0.0,0.0,0.30482836002338054,0.0,0.0,0.0,0.0,0.0
118,3D_truss,3,8,-0.9489936748580394,0.0,0.0,0.0,0.0,0.0,0.9489936748580394,0.0,0.0,0.0,0.0,0.0
119,3D_truss,4,9,-0.17107995422093758,0.0,0.0,0.0,0.0,0.0,0.17107995422093758,0.0,0.0,0.0,0.0,0.0
120,3D_truss,4,11,-0.1407730726546248,0.0,0.0,0.0,0.0,0.0,0.1407730726546248,0.0,0.0,0.0,0.0,0.0
121,3D_truss,5,12,-0.8836329978965303,0.0,0.0,0.0,0.0,0.0,0.8836329978965303,0.0,0.0,0.0,0.0,0.0
122,3D_truss,3,10,0.17301227474995606,0.0,0.0,0.0,0.0,0.0,-0.17301227474995606,0.0,0.0,0.0,0.0,0.0
123,3D_truss,5,10,0.13373674287902482,0.0,0.0,0.0,0.0,0.0,-0.13373674287902482,0.0,0.0,0.0,0.0,0.0
201,3D_truss,13,14,-0.7805151517795109,0.0,0.0,0.0,0.0,0.0,0.7805151517795109,0.0,0.0,0.0,0.0,0.0
202,3D_truss,14,15,-0.706447950313725,0.0,0.0,0.0,0.0,0.0,0.706447950313725,0.0,0.0,0.0,0.0,0.0
203,3D_truss,15,16,-1.4079906299452298,0.0,0.0,0.0,0.0,0.0,1.4079906299452298,0.0,0.0,0.0,0.0,0.0
204,3D_truss,16,17,-1.4270773573541784,0.0,0.0,0.0,0.0,0.0,1.4270773573541784,0.0,0.0,0.0,0.0,0.0
205,3D_truss,17,18,-0.7940108492592843,0.0,0.0,0.0,0.0,0.0,0.7940108492592843,0.0,0.0,0.0,0.0,0.0
206,3D_truss,18,19,-0.8712717902952898,0.0,0.0,0.0,0.0,0.0,0.8712717902952898,0.0,0.0,0.0,0.0,0.0
207,3D_truss,13,20,1.160522562389339,0.0,0.0,0.0,0.0,0.0,-1.160522562389339,0.0,0.0,0.0,0.0,0.0
208,3D_truss,20,21,1.4187655108631079,0.0,0.0,0.0,0.0,0.0,-1.4187655108631079,0.0,0.0,0.0,0.0,0.0
209,3D_truss,21,22,1.5338261747077389,0.0,0.0,0.0,0.0,0.0,-1.5338261747077389,0.0,0.0,0.0,0.0,0.0
210,3D_truss,22,23,1.5602411266551968,0.0,0.0,0.0,0.0,0.0,-1.5602411266551968,0.0,0.0,0.0,0.0,0.0
211,3D_truss,23,24,1.465563504926516,0.0,0.0,0.0,0.0,0.0,-1.465563504926516,0.0,0.0,0.0,0.0,0.0
212,3D_truss,19,24,1.295504689726605,0.0,0.0,0.0,0.0,0.0,-1.295504689726605,0.0,0.0,0.0,0.0,0.0
