node_id,x,y,z,ux,uy,uz,rx,ry,rz,disp_mag,rot_mag
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.176,0.0,0.0,3.39718472192154e-06,0.0,-3.432421716453033e-05,0.0,0.0,0.0,3.449192293846047e-05,0.0
3,36.352,0.0,0.0,6.471992658919198e-06,0.0,-5.941746797912192e-05,0.0,0.0,0.0,5.976890654869874e-05,0.0
4,54.528,0.0,0.0,1.2600258389255536e-05,0.0,-6.788272638520024e-05,0.0,0.0,0.0,6.904224107721277e-05,0.0
5,72.704,0.0,0.0,1.881159891781628e-05,0.0,-6.027687372395138e-05,0.0,0.0,0.0,6.314410312751276e-05,0.0
6,90.88,0.0,0.0,2.226752353374942e-05,0.0,-3.6691728209853425e-05,0.0,0.0,0.0,4.291998978741535e-05,0.0
7,109.055,0.0,0.0,2.6059517017613627e-05,0.0,0.0,0.0,0.0,0.0,2.6059517017613627e-05,0.0
8,18.176,0.0,20.0,2.5776785313774244e-05,0.0,-3.3574497982526696e-05,0.0,0.0,0.0,4.232835427808524e-05,0.0
9,36.352,0.0,20.0,1.960162201745052e-05,0.0,-6.002382451431037e-05,0.0,0.0,0.0,6.314335353019926e-05,0.0
10,54.528,0.0,20.0,1.2925658283856674e-05,0.0,-6.679551969082763e-05,0.0,0.0,0.0,6.803465361739394e-05,0.0
11,72.704,0.0,20.0,6.134723724928282e-06,0.0,-6.077581395906773e-05,0.0,0.0,0.0,6.10846494429526e-05,0.0
12,90.88,0.0,20.0,-2.441273922998109e-07,0.0,-3.523182227104413e-05,0.0,0.0,0.0,3.523266806136192e-05,0.0
13,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,18.176,20.0,0.0,3.397184721921549e-06,0.0,-3.4324217164530294e-05,0.0,0.0,0.0,3.449192293846044e-05,0.0
15,36.352,20.0,0.0,6.471992658919218e-06,0.0,-5.94174679791218e-05,0.0,0.0,0.0,5.9768906548698625e-05,0.0
16,54.528,20.0,0.0,1.2600258389255545e-05,0.0,-6.788272638520002e-05,0.0,0.0,0.0,6.904224107721255e-05,0.0
17,72.704,20.0,0.0,1.8811598917816257e-05,0.0,-6.027687372395116e-05,0.0,0.0,0.0,6.314410312751254e-05,0.0
