node_id,x,y,z,Rx,Ry,Rz,Mx,My,Mz,reaction_force_mag,reaction_moment_mag
1,0.0,0.0,0.0,1.7763568394002505e-15,0.0,-0.908791657932905,0.0,0.0,0.0,0.908791657932905,0.0
2,18.176,0.0,0.0,-2.220446049250313e-16,0.00011732810994937507,-8.881784197001252e-16,-0.9286260815024683,0.04750947815367356,-0.2873521423309584,0.00011732810994937507,0.9732290601206144
3,36.352,0.0,0.0,8.881784197001252e-16,-7.074810698492664e-05,0.0,-2.533037923543425,0.00021004725523934294,-0.19708244769119077,7.074810698492664e-05,2.5406933418689053
4,54.528,0.0,0.0,1.7763568394002505e-15,-9.316089669374459e-05,0.0,-2.1646719084828163,-1.9703311046434586e-07,1.4397972536439596e-06,9.316089669374459e-05,2.164671908483304
5,72.704,0.0,0.0,0.0,-7.074693385171047e-05,7.105427357601002e-15,-2.533037880157842,-0.0002104507801184928,0.19708450145696466,7.074693385171047e-05,2.5406934579595792
6,90.88,0.0,0.0,1.7763568394002505e-15,0.00011732782758100383,2.6645352591003757e-15,-0.9286262063133819,-0.04750982172223209,0.28734863770971275,0.00011732782758100383,0.9732281612272067
7,109.055,0.0,0.0,8.881784197001252e-16,0.0,-0.9088083420670834,0.0,0.0,0.0,0.9088083420670834,0.0
8,18.176,0.0,20.0,-8.881784197001252e-16,0.0,7.105427357601002e-15,0.0,0.0,0.0,7.160723346098895e-15,0.0
9,36.352,0.0,20.0,-1.7763568394002505e-15,0.0,-8.881784197001252e-16,0.0,0.0,0.0,1.9860273225978185e-15,0.0
10,54.528,0.0,20.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0
11,72.704,0.0,20.0,0.0,0.0,-2.6645352591003757e-15,0.0,0.0,0.0,2.6645352591003757e-15,0.0
12,90.88,0.0,20.0,-1.7763568394002505e-15,0.0,8.881784197001252e-16,0.0,0.0,0.0,1.9860273225978185e-15,0.0
13,0.0,20.0,0.0,3.1086244689504383e-15,0.0,-0.9087916579329054,0.0,0.0,0.0,0.9087916579329054,0.0
14,18.176,20.0,0.0,0.0,-0.00011732810994937447,-1.7763568394002505e-15,0.9286260815024754,0.0475094781536736,0.2873521423309584,0.00011732810994937447,0.9732290601206213
15,36.352,20.0,0.0,8.881784197001252e-16,7.074810698492304e-05,0.0,2.5330379235434357,0.00021004725523930443,0.19708244769118977,7.074810698492304e-05,2.540693341868916
16,54.528,20.0,0.0,1.7763568394002505e-15,9.316089669374319e-05,3.552713678800501e-15,2.1646719084828128,-1.970331105035207e-07,-1.4397972543100934e-06,9.316089669374319e-05,2.164671908483301
17,72.704,20.0,0.0,0.0,7.07469338517096e-05,0.0,2.533037880157849,-0.00021045078011845938,-0.1970845014569642,7.07469338517096e-05,2.5406934579595863
18,90.88,20.0,0.0,0.0,-0.00011732782758100401,-4.440892098500626e-15,0.9286262063134068,-0.047509821722232067,-0.2873486377097114,0.00011732782758100401,0.97322816122723
19,109.055,20.0,0.0,8.881784197001252e-16,0.0,-0.9088083420670798,0.0,0.0,0.0,0.9088083420670798,0.0
20,18.176,20.0,20.0,-2.6645352591003757e-15,0.0,7.105427357601002e-15,0.0,0.0,0.0,7.588599744428075e-15,0.0
21,36.352,20.0,20.0,-8.881784197001252e-16,0.0,-4.440892098500626e-15,0.0,0.0,0.0,4.5288390936029406e-15,0.0
22,54.528,20.0,20.0,2.6645352591003757e-15,0.0,1.7763568394002505e-15,0.0,0.0,0.0,3.2023728339893768e-15,0.0
23,72.704,20.0,20.0,1.7763568394002505e-15,0.0,-1.509903313490213e-14,0.0,0.0,0.0,1.5203165631859585e-14,0.0
24,90.88,20.0,20.0,-1.7763568394002505e-15,0.0,3.552713678800501e-15,0.0,0.0,0.0,3.972054645195637e-15,0.0
