elem_id,type,node_i,node_j,Fx_i_local,Fy_i_local,Fz_i_local,Mx_i_local,My_i_local,Mz_i_local,Fx_j_local,Fy_j_local,Fz_j_local,Mx_j_local,My_j_local,Mz_j_local
101,3D_truss,1,2,-5.579070997768267,0.0,0.0,0.0,0.0,0.0,5.579070997768267,0.0,0.0,0.0,0.0,0.0
102,3D_truss,2,3,-4.775123691771422,0.0,0.0,0.0,0.0,0.0,4.775123691771422,0.0,0.0,0.0,0.0,0.0
103,3D_truss,3,4,-9.394335738257022,0.0,0.0,0.0,0.0,0.0,9.394335738257022,0.0,0.0,0.0,0.0,0.0
104,3D_truss,4,5,-9.521275230190618,0.0,0.0,0.0,0.0,0.0,9.521275230190618,0.0,0.0,0.0,0.0,0.0
105,3D_truss,5,6,-5.382178289205449,0.0,0.0,0.0,0.0,0.0,5.382178289205449,0.0,0.0,0.0,0.0,0.0
106,3D_truss,6,7,-6.2146881093598125,0.0,0.0,0.0,0.0,0.0,6.2146881093598125,0.0,0.0,0.0,0.0,0.0
107,3D_truss,1,8,8.29533898902606,0.0,0.0,0.0,0.0,0.0,-8.29533898902606,0.0,0.0,0.0,0.0,0.0
108,3D_truss,8,9,7.7681446281938555,0.0,0.0,0.0,0.0,0.0,-7.7681446281938555,0.0,0.0,0.0,0.0,0.0
109,3D_truss,9,10,8.524288863736466,0.0,0.0,0.0,0.0,0.0,-8.524288863736466,0.0,0.0,0.0,0.0,0.0
110,3D_truss,10,11,8.670048703646524,0.0,0.0,0.0,0.0,0.0,-8.670048703646524,0.0,0.0,0.0,0.0,0.0
111,3D_truss,11,12,8.020749722972063,0.0,0.0,0.0,0.0,0.0,-8.020749722972063,0.0,0.0,0.0,0.0,0.0
112,3D_truss,7,12,9.240695820227494,0.0,0.0,0.0,0.0,0.0,-9.240695820227494,0.0,0.0,0.0,0.0,0.0
113,3D_truss,2,8,-1.1298382049745683,0.0,0.0,0.0,0.0,0.0,1.1298382049745683,0.0,0.0,0.0,0.0,0.0
114,3D_truss,3,9,1.0851408945833327,0.0,0.0,0.0,0.0,0.0,-1.0851408945833327,0.0,0.0,0.0,0.0,0.0
115,3D_truss,4,10,-1.2472263717520775,0.0,0.0,0.0,0.0,0.0,1.2472263717520775,0.0,0.0,0.0,0.0,0.0
116,3D_truss,5,11,0.9318075092320441,0.0,0.0,0.0,0.0,0.0,-0.9318075092320441,0.0,0.0,0.0,0.0,0.0
117,3D_truss,6,12,-2.166506713921777,0.0,0.0,0.0,0.0,0.0,2.166506713921777,0.0,0.0,0.0,0.0,0.0
118,3D_truss,3,8,-6.7686280249324255,0.0,0.0,0.0,0.0,0.0,6.7686280249324255,0.0,0.0,0.0,0.0,0.0
119,3D_truss,4,9,-1.4663130473482582,0.0,0.0,0.0,0.0,0.0,1.4663130473482582,0.0,0.0,0.0,0.0,0.0
