node_id,x,y,z,ux,uy,uz,rx,ry,rz,disp_mag,rot_mag
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.176,0.0,0.0,2.4282853078409005e-05,0.0,-0.00022240958584641247,0.0,0.0,0.0,0.00022373126922716976,0.0
3,36.352,0.0,0.0,4.506653320811144e-05,0.0,-0.000379689695848126,0.0,0.0,0.0,0.0003823548843007504,0.0
4,54.528,0.0,0.0,8.595528952481634e-05,0.0,-0.00043332324388290665,0.0,0.0,0.0,0.00044176616607261807,0.0
5,72.704,0.0,0.0,0.0001273965487642667,0.0,-0.000385450730804054,0.0,0.0,0.0,0.00040595830637446686,0.0
6,90.88,0.0,0.0,0.0001508224282146015,0.0,-0.00023882988699098042,0.0,0.0,0.0,0.0002824661391612685,0.0
7,109.055,0.0,0.0,0.00017787031049132916,0.0,0.0,0.0,0.0,0.0,0.00017787031049132916,0.0
8,18.176,0.0,20.0,0.0001589538686281903,0.0,-0.00021699848333216646,0.0,0.0,0.0,0.00026898824160235797,0.0
9,36.352,0.0,20.0,0.00012514309354149216,0.0,-0.0003848867307838699,0.0,0.0,0.0,0.00040472038420943143,0.0
10,54.528,0.0,20.0,8.804120791235566e-05,0.0,-0.0004273499375047837,0.0,0.0,0.0,0.00043632467656094033,0.0
11,72.704,0.0,20.0,5.030490397617769e-05,0.0,-0.00038991341044596994,0.0,0.0,0.0,0.0003931450762882067,0.0
12,90.88,0.0,20.0,1.539466763404641e-05,0.0,-0.00022845389698177652,0.0,0.0,0.0,0.00022897200448465947,0.0
13,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,18.176,20.0,0.0,2.4282853078409077e-05,0.0,-0.00022240958584641217,0.0,0.0,0.0,0.00022373126922716946,0.0
15,36.352,20.0,0.0,4.5066533208111594e-05,0.0,-0.000379689695848125,0.0,0.0,0.0,0.00038235488430074944,0.0
16,54.528,20.0,0.0,8.595528952481638e-05,0.0,-0.00043332324388290524,0.0,0.0,0.0,0.0004417661660726167,0.0
17,72.704,20.0,0.0,0.0001273965487642666,0.0,-0.0003854507308040527,0.0,0.0,0.0,0.0004059583063744656,0.0
18,90.88,20.0,0.0,0.00015082242821460123,0.0,-0.00023882988699097925,0.0,0.0,0.0,0.00028246613916126735,0.0
19,109.055,20.0,0.0,0.00017787031049132864,0.0,0.0,0.0,0.0,0.0,0.00017787031049132864,0.0
20,18.176,20.0,20.0,0.00015895386862819016,0.0,-0.00021699848333216619,0.0,0.0,0.0,0.0002689882416023577,0.0
21,36.352,20.0,20.0,0.00012514309354149208,0.0,-0.00038488673078386883,0.0,0.0,0.0,0.0004047203842094304,0.0
22,54.528,20.0,20.0,8.804120791235559e-05,0.0,-0.0004273499375047824,0.0,0.0,0.0,0.00043632467656093903,0.0
23,72.704,20.0,20.0,5.0304903976177725e-05,0.0,-0.00038991341044596864,0.0,0.0,0.0,0.0003931450762882054,0.0
24,90.88,20.0,20.0,1.5394667634046553e-05,0.0,-0.00022845389698177525,0.0,0.0,0.0,0.00022897200448465823,0.0
25,18.176,5.0,0.0,7.448495609518001e-05,4.031158855468518e-08,-0.00024125050516568186,-4.718085168204597e-06,3.443441419228014e-05,-1.0053960095437113e-05,0.0002524872601780568,3.61810906693065e-05
26,18.176,10.0,0.0,9.62584392119948e-05,1.6158813123644357e-23,-0.0002538446030651138,1.9540850121833127e-20,4.3485062918325966e-05,-5.5339593374583775e-21,0.00027148254018410554,4.3485062918325966e-05
27,18.176,15.0,0.0,7.448495609518001e-05,-4.031158855468514e-08,-0.00024125050516568165,4.718085168204629e-06,3.443441419228011e-05,1.0053960095437116e-05,0.00025248726017805664,3.618109066930648e-05
28,36.352,5.0,0.0,7.894940475853002e-05,-2.476818148445938e-08,-0.00043274330093822456,-1.3249897135998046e-05,3.101797739915993e-05,-6.134106365015706e-06,0.0004398860916556692,3.4282677213815314e-05
29,36.352,10.0,0.0,9.250463230631676e-05,-2.2112728403570865e-23,-0.0004680405707270006,5.601989224857834e-20,4.2243763232170114e-05,-9.382759908958104e-21,0.0004770944171173913,4.2243763232170114e-05
30,36.352,15.0,0.0,7.894940475853008e-05,2.4768181484459345e-08,-0.0004327433009382241,1.3249897135998155e-05,3.101797739915988e-05,6.134106365015698e-06,0.0004398860916556687,3.4282677213815314e-05
31,54.528,5.0,0.0,8.660611964570558e-05,-3.023925574053672e-08,-0.00048754511482072143,-1.3546549960655718e-05,2.3659553830673794e-05,-1.0555514020887114e-07,0.000495177604360344,2.7263430546993107e-05
32,54.528,10.0,0.0,8.676299703423663e-05,-7.063509804144248e-23,-0.0005236346198902103,1.9611343759421842e-19,3.369000239739961e-05,-1.915134251735003e-20,0.0005307739940896953,3.369000239739961e-05
33,54.528,15.0,0.0,8.660611964570567e-05,3.023925574053659e-08,-0.0004875451148207201,1.3546549960655812e-05,2.36595538306738e-05,1.0555514020888245e-07,0.0004951776043603427,2.726343054699316e-05
34,72.704,5.0,0.0,9.434040518609944e-05,-2.602657139982719e-08,-0.0004389693827466692,-1.3372000604609145e-05,1.7871283247231553e-05,6.004871731978102e-06,0.0004489924628733222,2.3113884346642306e-05
35,72.704,10.0,0.0,8.090185960082114e-05,-9.180635431589325e-23,-0.00047460674608558695,9.57528973453752e-20,2.8117089524096265e-05,-2.340214103863456e-20,0.00048145267090007903,2.8117089524096265e-05
36,72.704,15.0,0.0,9.434040518609954e-05,2.6026571399826995e-08,-0.0004389693827466684,1.3372000604609289e-05,1.787128324723157e-05,-6.0048717319780875e-06,0.00044899246287332143,2.3113884346642398e-05
37,90.88,5.0,0.0,9.899393058246584e-05,4.072242007013815e-08,-0.000274779130888923,-8.975536096049956e-06,1.3197616819904041e-05,1.0348284477573332e-05,0.0002920674078403023,1.9021680513700542e-05
38,90.88,10.0,0.0,7.67980515923875e-05,1.8143850718644286e-22,-0.00029865706337468345,7.110781043632302e-20,2.0310173886425014e-05,-2.912633873231851e-20,0.0003083731217729209,2.0310173886425014e-05
39,90.88,15.0,0.0,9.899393058246595e-05,-4.072242007013778e-08,-0.0002747791308889222,8.975536096050098e-06,1.3197616819904038e-05,-1.0348284477573276e-05,0.00029206740784030154,1.9021680513700576e-05
