node_id,x,y,z,ux,uy,uz,rx,ry,rz,disp_mag,rot_mag
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.176,0.0,0.0,-3.594764752516891e-06,0.0,3.571191180438502e-05,0.0,0.0,0.0,3.589238050547932e-05,0.0
3,36.352,0.0,0.0,-6.855995509837507e-06,0.0,6.128723727464992e-05,0.0,0.0,0.0,6.166952348762029e-05,0.0
4,54.528,0.0,0.0,-1.3170982703395242e-05,0.0,6.926734241434716e-05,0.0,0.0,0.0,7.050843574012654e-05,0.0
5,72.704,0.0,0.0,-1.948594241904484e-05,0.0,6.12863841552833e-05,0.0,0.0,0.0,6.430958587012742e-05,0.0
6,90.88,0.0,0.0,-2.2747045751666772e-05,0.0,3.5710214138982203e-05,0.0,0.0,0.0,4.233966797555675e-05,0.0
7,109.055,0.0,0.0,-2.6341480945097964e-05,0.0,0.0,0.0,0.0,0.0,2.6341480945097964e-05,0.0
8,18.176,0.0,20.0,-2.651715996659796e-05,0.0,3.483758975872682e-05,0.0,0.0,0.0,4.378147362631246e-05,0.0
9,36.352,0.0,20.0,-2.004974828724973e-05,0.0,6.178580494847801e-05,0.0,0.0,0.0,6.49575099546884e-05,0.0
10,54.528,0.0,20.0,-1.317056087106665e-05,0.0,6.826383490565003e-05,0.0,0.0,0.0,6.952276483055256e-05,0.0
11,72.704,0.0,20.0,-6.291410735120445e-06,0.0,6.178498651813608e-05,0.0,0.0,0.0,6.210447977468489e-05,0.0
12,90.88,0.0,20.0,1.7593501372039352e-07,0.0,3.4835891938934096e-05,0.0,0.0,0.0,3.48363362067561e-05,0.0
13,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,18.176,20.0,0.0,-3.5947647525168903e-06,0.0,3.5711911804385065e-05,0.0,0.0,0.0,3.589238050547937e-05,0.0
15,36.352,20.0,0.0,-6.8559955098375045e-06,0.0,6.128723727465e-05,0.0,0.0,0.0,6.166952348762037e-05,0.0
16,54.528,20.0,0.0,-1.3170982703395244e-05,0.0,6.92673424143473e-05,0.0,0.0,0.0,7.050843574012668e-05,0.0
17,72.704,20.0,0.0,-1.948594241904486e-05,0.0,6.128638415528347e-05,0.0,0.0,0.0,6.430958587012757e-05,0.0
18,90.88,20.0,0.0,-2.274704575166681e-05,0.0,3.5710214138982325e-05,0.0,0.0,0.0,4.2339667975556875e-05,0.0
19,109.055,20.0,0.0,-2.6341480945098018e-05,0.0,0.0,0.0,0.0,0.0,2.6341480945098018e-05,0.0
20,18.176,20.0,20.0,-2.6517159966597996e-05,0.0,3.483758975872687e-05,0.0,0.0,0.0,4.3781473626312526e-05,0.0
21,36.352,20.0,20.0,-2.0049748287249767e-05,0.0,6.178580494847809e-05,0.0,0.0,0.0,6.49575099546885e-05,0.0
22,54.528,20.0,20.0,-1.3170560871066683e-05,0.0,6.826383490565017e-05,0.0,0.0,0.0,6.952276483055271e-05,0.0
23,72.704,20.0,20.0,-6.291410735120464e-06,0.0,6.178498651813625e-05,0.0,0.0,0.0,6.210447977468507e-05,0.0
24,90.88,20.0,20.0,1.7593501372039942e-07,0.0,3.4835891938934204e-05,0.0,0.0,0.0,3.483633620675621e-05,0.0
25,18.176,5.0,0.0,-9.565406014988365e-06,-2.340646882452062e-10,4.0288266517409614e-05,1.3751658197628626e-06,-4.716870570876774e-06,1.4325147438857045e-06,4.1408228786850935e-05,5.1178166737093445e-06
26,18.176,10.0,0.0,-1.317327915914543e-05,-3.9582063493648126e-24,4.487913499126886e-05,6.144678367421337e-21,-1.371411700584749e-05,1.483965822797891e-22,4.6772556498114455e-05,1.371411700584749e-05
27,18.176,15.0,0.0,-9.565406014988365e-06,2.340646882452018e-10,4.0288266517409675e-05,-1.375165819762858e-06,-4.7168705708767726e-06,-1.4325147438857047e-06,4.1408228786850996e-05,5.117816673709342e-06
28,36.352,5.0,0.0,-1.0884697099332153e-05,1.411491573041975e-10,7.41518717508403e-05,3.855317556982583e-06,-4.823016152142146e-07,9.430195161158517e-07,7.494649234698847e-05,3.998171347127554e-06
29,36.352,10.0,0.0,-1.3181629413393568e-05,9.03721450444385e-24,8.698936634806506e-05,-4.57822467306994e-21,6.071258474580812e-07,5.533795883662396e-22,8.798241421801244e-05,6.071258474580812e-07
30,36.352,15.0,0.0,-1.0884697099332156e-05,-1.411491573041884e-10,7.41518717508403e-05,-3.855317556982568e-06,-4.823016152142142e-07,-9.430195161158536e-07,7.494649234698847e-05,3.998171347127541e-06
31,54.528,5.0,0.0,-1.317095051379638e-05,3.716661583155082e-10,9.01802689581114e-05,6.281131507736889e-06,2.230169884369482e-11,-6.157030062725307e-12,9.113701140004712e-05,6.281131507779499e-06
32,54.528,10.0,0.0,-1.3170941167199091e-05,2.2740617466708515e-23,0.00011114370013798063,3.972306742592604e-21,2.3527930265975308e-11,-1.5946487909587291e-21,0.0001119213821018628,2.3527930265975308e-11
33,54.528,15.0,0.0,-1.3170950513796379e-05,-3.716661583154864e-10,9.018026895811146e-05,-6.281131507736875e-06,2.2301698841385324e-11,6.157030063083652e-12,9.113701140004718e-05,6.281131507779485e-06
34,72.704,5.0,0.0,-1.545719755087468e-05,1.4114681400481883e-10,7.415101830576554e-05,3.855317470859629e-06,4.823426200086955e-07,-9.43027675390258e-07,7.57449567425361e-05,3.9981781351941155e-06
35,72.704,10.0,0.0,-1.316025387046885e-05,-1.2925916817704037e-23,8.698851265447504e-05,1.225371250166574e-20,-6.070792507431357e-07,-1.5783737711263207e-21,8.797837015865293e-05,6.070792507431357e-07
36,72.704,15.0,0.0,-1.5457197550874677e-05,-1.4114681400483162e-10,7.415101830576564e-05,-3.855317470859614e-06,4.823426200086941e-07,9.430276753902604e-07,7.574495674253619e-05,3.998178135194102e-06
37,90.88,5.0,0.0,-1.6776464439048912e-05,-2.340643622215615e-10,4.028656941756894e-05,1.3751659655763016e-06,4.716906262791708e-06,-1.4325032755447955e-06,4.3640089763496816e-05,5.117846398563521e-06
38,90.88,10.0,0.0,-1.3168607910913587e-05,1.7992332917249027e-24,4.487743829800699e-05,1.443014132724882e-20,1.3714161818637985e-05,1.3052625174091834e-21,4.676961302494174e-05,1.3714161818637985e-05
39,90.88,15.0,0.0,-1.6776464439048916e-05,2.340643622215644e-10,4.0286569417569045e-05,-1.3751659655762908e-06,4.716906262791706e-06,1.4325032755447976e-06,4.364008976349692e-05,5.117846398563518e-06
