elem_id,type,node_i,node_j,Fx_i_local,Fy_i_local,Fz_i_local,Mx_i_local,My_i_local,Mz_i_local,Fx_j_local,Fy_j_local,Fz_j_local,Mx_j_local,My_j_local,Mz_j_local
1,3D_truss,1,2,-64.68026588748465,0.0,0.0,0.0,0.0,0.0,64.68026588748465,0.0,0.0,0.0,0.0,0.0
2,3D_truss,2,3,-46.73724303741301,0.0,0.0,0.0,0.0,0.0,46.73724303741301,0.0,0.0,0.0,0.0,0.0
3,3D_truss,4,5,-16.11844200584626,0.0,0.0,0.0,0.0,0.0,16.11844200584626,0.0,0.0,0.0,0.0,0.0
4,3D_truss,5,6,-28.86211601726807,0.0,0.0,0.0,0.0,0.0,28.86211601726807,0.0,0.0,0.0,0.0,0.0
5,3D_truss,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3D_truss,8,9,-9.435266385320475,0.0,0.0,0.0,0.0,0.0,9.435266385320475,0.0,0.0,0.0,0.0,0.0
7,3D_truss,1,4,-42.1802658874846,0.0,0.0,0.0,0.0,0.0,42.1802658874846,0.0,0.0,0.0,0.0,0.0
8,3D_truss,4,7,-35.27962494216637,0.0,0.0,0.0,0.0,0.0,35.27962494216637,0.0,0.0,0.0,0.0,0.0
9,3D_truss,2,5,-12.371227532096547,0.0,0.0,0.0,0.0,0.0,12.371227532096547,0.0,0.0,0.0,0.0,0.0
10,3D_truss,5,8,-29.277352207761325,0.0,0.0,0.0,0.0,0.0,29.277352207761325,0.0,0.0,0.0,0.0,0.0
11,3D_truss,3,6,7.499999999999793,0.0,0.0,0.0,0.0,0.0,-7.499999999999793,0.0,0.0,0.0,0.0,0.0
12,3D_truss,6,9,-9.224862763823516,0.0,0.0,0.0,0.0,0.0,9.224862763823516,0.0,0.0,0.0,0.0,0.0
13,3D_truss,1,5,6.61889549359406,0.0,0.0,0.0,0.0,0.0,-6.61889549359406,0.0,0.0,0.0,0.0,0.0
14,3D_truss,2,6,17.495557759094375,0.0,0.0,0.0,0.0,0.0,-17.495557759094375,0.0,0.0,0.0,0.0,0.0
15,3D_truss,4,8,22.794919288991984,0.0,0.0,0.0,0.0,0.0,-22.794919288991984,0.0,0.0,0.0,0.0,0.0
16,3D_truss,5,9,19.087260369064417,0.0,0.0,0.0,0.0,0.0,-19.087260369064417,0.0,0.0,0.0,0.0,0.0
17,3D_truss,10,11,7.120918946729034,0.0,0.0,0.0,0.0,0.0,-7.120918946729034,0.0,0.0,0.0,0.0,0.0
18,3D_truss,11,12,-9.999999999999943,0.0,0.0,0.0,0.0,0.0,9.999999999999943,0.0,0.0,0.0,0.0,0.0
19,3D_truss,13,14,29.79074722210214,0.0,0.0,0.0,0.0,0.0,-29.79074722210214,0.0,0.0,0.0,0.0,0.0
20,3D_truss,14,15,14.616324090684088,0.0,0.0,0.0,0.0,0.0,-14.616324090684088,0.0,0.0,0.0,0.0,0.0
